Date,Open,High,Low,Close,Volume,Adj. Close*
12-Sep-03,28.25,29.35,27.95,29.18,6723200,29.18
11-Sep-03,28.40,28.40,27.96,28.23,3666100,28.23
10-Sep-03,28.20,28.70,27.85,27.92,3551500,27.92
9-Sep-03,28.00,29.25,27.96,28.57,5906500,28.57
8-Sep-03,28.00,28.97,27.95,28.20,4072100,28.20
5-Sep-03,28.09,28.39,27.85,27.99,2748100,27.99
4-Sep-03,28.43,28.55,28.05,28.09,2936000,28.09
3-Sep-03,28.92,29.02,28.15,28.29,3874500,28.29
2-Sep-03,28.85,28.89,27.95,28.62,3159100,28.62
29-Aug-03,28.40,28.61,28.17,28.56,2593100,28.56
28-Aug-03,27.70,28.40,27.27,28.35,2230900,28.35
27-Aug-03,27.75,27.75,27.25,27.62,2031600,27.62
26-Aug-03,27.65,27.91,27.30,27.75,3635300,27.75
25-Aug-03,27.55,27.79,26.85,27.79,3992400,27.79
22-Aug-03,28.90,28.91,28.12,28.13,3198900,28.13
21-Aug-03,28.48,28.77,28.23,28.59,3306200,28.59
20-Aug-03,28.20,28.41,28.02,28.26,2685700,28.26
19-Aug-03,28.32,28.62,27.77,28.05,4064500,28.05
18-Aug-03,27.70,28.21,27.70,28.18,3774200,28.18
15-Aug-03,27.70,27.70,27.43,27.70,1461900,27.70
14-Aug-03,27.25,27.90,27.09,27.80,3610800,27.80
13-Aug-03,27.25,27.30,26.84,27.02,2881400,27.02
12-Aug-03,27.44,27.44,26.81,27.10,2957600,27.10
11-Aug-03,26.83,27.25,26.79,27.19,3167800,27.19
8-Aug-03,26.60,26.87,26.50,26.83,2966200,26.83
7-Aug-03,26.37,26.75,26.22,26.50,3128200,26.50
6-Aug-03,26.70,26.70,26.36,26.45,3316000,26.45
5-Aug-03,27.20,27.30,26.73,26.82,3603400,26.67
4-Aug-03,27.10,27.48,26.80,27.37,3532700,27.22
1-Aug-03,27.77,27.77,26.91,27.11,3336700,26.96
31-Jul-03,27.14,27.90,26.94,27.77,4926500,27.61
30-Jul-03,27.05,27.12,26.63,26.95,2555400,26.80
29-Jul-03,26.91,27.10,26.50,26.94,3293400,26.79
28-Jul-03,26.80,27.02,26.33,26.93,5613000,26.78
25-Jul-03,25.84,26.87,25.84,26.71,5512900,26.56
24-Jul-03,25.75,26.55,25.06,25.84,5764900,25.70
23-Jul-03,25.13,25.94,24.88,25.65,5075900,25.51
22-Jul-03,24.28,24.95,24.04,24.87,3461800,24.73
21-Jul-03,24.70,24.71,24.00,24.19,4211300,24.05
18-Jul-03,24.60,25.29,24.39,24.70,2711100,24.56
17-Jul-03,24.60,24.60,24.09,24.31,3583000,24.17
16-Jul-03,24.95,25.05,24.50,24.60,3501300,24.46
15-Jul-03,25.35,25.37,24.60,24.75,3467900,24.61
14-Jul-03,25.57,25.60,25.10,25.11,2647500,24.97
11-Jul-03,24.95,25.44,24.95,25.27,2681200,25.13
10-Jul-03,25.22,25.22,24.82,24.95,2992400,24.81
9-Jul-03,25.71,26.14,24.85,25.47,5792300,25.33
8-Jul-03,25.85,25.89,25.54,25.81,3489800,25.67
7-Jul-03,25.50,25.90,25.38,25.71,4747300,25.57
3-Jul-03,25.32,25.65,24.99,25.30,1569100,25.16
2-Jul-03,25.50,25.72,25.43,25.53,3054400,25.39
1-Jul-03,25.50,25.51,25.02,25.50,3191900,25.36
30-Jun-03,25.09,25.53,24.87,25.50,3603800,25.36
27-Jun-03,25.30,25.50,24.85,25.09,3444300,24.95
26-Jun-03,24.85,25.25,24.51,25.24,3866400,25.10
25-Jun-03,24.96,25.14,24.41,24.51,3809700,24.37
24-Jun-03,25.02,25.20,24.80,24.96,3508300,24.82
23-Jun-03,25.80,25.85,24.97,25.07,3080100,24.93
20-Jun-03,26.45,26.52,25.92,26.24,3822500,26.09
19-Jun-03,26.75,26.80,26.00,26.35,2429600,26.20
18-Jun-03,26.63,26.73,26.35,26.60,2435300,26.45
17-Jun-03,26.28,26.68,26.02,26.60,2377700,26.45
16-Jun-03,25.65,26.29,25.55,26.28,2315700,26.13
13-Jun-03,26.05,26.08,25.25,25.58,2449100,25.44
12-Jun-03,26.25,26.28,25.85,26.14,2457800,25.99
11-Jun-03,25.95,26.30,25.88,26.08,4360600,25.93
10-Jun-03,25.85,26.03,25.61,25.95,2219400,25.80
9-Jun-03,26.00,26.08,25.34,25.50,3313300,25.36
6-Jun-03,26.24,27.22,25.85,25.93,5035100,25.78
