Date,Open,High,Low,Close,Volume,Adj. Close*
19-May-70,58.13,58.50,57.63,57.63,12200,0.00
18-May-70,58.13,59.25,58.13,58.13,4500,0.00
15-May-70,58.00,58.88,58.00,58.13,10500,0.00
14-May-70,58.63,58.63,56.75,56.75,10600,0.00
13-May-70,60.50,60.50,59.00,59.00,10000,0.00
12-May-70,60.50,60.88,60.13,60.63,6100,0.00
11-May-70,60.88,60.88,60.25,60.50,5000,0.00
8-May-70,61.63,61.75,61.13,61.13,3900,0.00
7-May-70,60.88,62.00,60.88,61.63,10500,0.00
6-May-70,60.25,61.38,60.25,60.63,15200,0.00
5-May-70,61.00,61.00,59.63,59.63,13100,0.00
4-May-70,64.00,64.00,61.00,61.00,25500,0.00
1-May-70,64.50,64.50,63.75,64.00,12200,0.00
30-Apr-70,64.50,65.87,63.88,64.62,8900,0.00
29-Apr-70,63.75,64.75,63.75,64.50,9700,0.00
28-Apr-70,64.00,64.12,63.50,63.75,11100,0.00
27-Apr-70,64.00,64.25,63.75,64.00,5200,0.00
24-Apr-70,63.25,64.00,63.25,64.00,8600,0.00
23-Apr-70,64.50,64.50,63.25,63.25,15800,0.00
22-Apr-70,67.00,67.00,64.75,64.75,24500,0.00
21-Apr-70,67.50,67.75,67.25,67.25,8900,0.00
20-Apr-70,67.50,67.75,67.12,67.50,7300,0.00
17-Apr-70,68.12,68.25,67.50,67.50,20200,0.00
16-Apr-70,68.50,69.50,68.12,68.12,23400,0.00
15-Apr-70,69.12,69.25,68.50,68.50,9500,0.00
14-Apr-70,69.62,69.62,68.87,69.12,18600,0.00
13-Apr-70,69.75,70.00,69.62,69.62,12000,0.00
10-Apr-70,70.25,71.00,69.25,69.75,11600,0.00
9-Apr-70,71.00,71.00,70.25,70.25,6100,0.00
8-Apr-70,71.12,71.37,71.00,71.00,11700,0.00
7-Apr-70,71.50,71.75,71.12,71.12,6400,0.00
6-Apr-70,71.75,71.75,71.50,71.50,13100,0.00
3-Apr-70,72.00,72.50,71.62,71.75,9400,0.00
2-Apr-70,71.37,72.00,71.37,72.00,24200,0.00
1-Apr-70,71.12,71.62,71.12,71.12,11100,0.00
31-Mar-70,70.87,70.87,70.62,70.62,11600,0.00
30-Mar-70,70.50,71.00,70.00,71.00,11900,0.00
26-Mar-70,71.37,71.50,70.00,70.50,14200,0.00
25-Mar-70,68.75,72.00,68.75,71.37,30200,0.00
24-Mar-70,67.75,68.87,67.75,68.25,12500,0.00
23-Mar-70,67.50,67.87,67.25,67.37,11400,0.00
20-Mar-70,68.00,68.25,67.50,67.50,18300,0.00
19-Mar-70,69.75,69.75,68.00,68.00,105500,0.00
18-Mar-70,69.75,69.87,69.75,69.87,14700,0.00
17-Mar-70,70.25,70.25,69.75,69.75,15500,0.00
16-Mar-70,71.00,71.00,70.25,70.25,9400,0.00
13-Mar-70,71.75,71.75,71.00,71.00,14400,0.00
12-Mar-70,72.50,72.50,71.75,71.75,13100,0.00
11-Mar-70,72.75,73.00,72.50,72.50,6100,0.00
10-Mar-70,72.87,73.25,72.75,72.75,9700,0.00
9-Mar-70,73.37,73.37,72.62,72.87,10600,0.00
6-Mar-70,73.62,73.75,73.62,73.62,6200,0.00
5-Mar-70,73.12,74.00,73.00,73.37,28600,0.00
4-Mar-70,72.75,73.12,72.75,73.12,13000,0.00
3-Mar-70,73.00,73.25,72.00,72.37,7700,0.00
2-Mar-70,73.25,73.50,72.75,73.00,14100,0.00
27-Feb-70,72.25,73.37,72.25,73.25,8600,0.00
26-Feb-70,70.87,72.12,70.87,72.12,8600,0.00
25-Feb-70,69.75,70.87,69.75,70.87,8600,0.00
24-Feb-70,70.00,70.25,69.75,69.75,7200,0.00
20-Feb-70,70.00,70.75,70.00,70.00,5300,0.00
19-Feb-70,68.87,70.00,68.87,69.75,7000,0.00
18-Feb-70,67.75,68.87,67.75,68.12,11200,0.00
17-Feb-70,67.75,68.00,67.62,67.62,4400,0.00
16-Feb-70,68.00,68.25,67.75,67.75,6700,0.00
13-Feb-70,68.00,68.00,67.87,68.00,4100,0.00
12-Feb-70,68.50,68.87,68.00,68.00,13900,0.00
11-Feb-70,66.25,68.50,66.25,68.50,6400,0.00
10-Feb-70,66.50,66.75,66.25,66.25,3100,0.00
9-Feb-70,65.75,66.75,65.75,66.50,5000,0.00
6-Feb-70,65.25,65.37,65.25,65.25,6700,0.00
5-Feb-70,65.75,65.75,65.25,65.25,6700,0.00
4-Feb-70,66.75,66.75,65.50,65.75,26100,0.00
3-Feb-70,65.62,66.75,65.25,66.75,15500,0.00
2-Feb-70,65.12,66.25,65.12,65.62,6900,0.00
30-Jan-70,65.25,66.00,65.12,65.12,6400,0.00
29-Jan-70,66.50,66.50,65.25,65.25,16700,0.00
28-Jan-70,66.62,67.00,66.50,66.50,12300,0.00
27-Jan-70,68.00,68.25,66.62,66.62,5900,0.00
26-Jan-70,68.75,68.75,67.37,68.00,13600,0.00
23-Jan-70,70.50,70.50,69.00,69.00,5500,0.00
22-Jan-70,69.87,71.75,69.75,70.50,23300,0.00
21-Jan-70,68.50,70.00,68.50,69.87,5200,0.00
20-Jan-70,67.50,68.25,67.50,68.25,3100,0.00
19-Jan-70,68.62,68.62,67.50,67.50,14800,0.00
16-Jan-70,68.25,68.75,67.75,68.75,14400,0.00
15-Jan-70,68.00,68.25,67.75,68.25,12500,0.00
